Team 1,Team 2,Winner,Win Margin,Ground,Match Date
Australia,West Indies,Australia,15 runs,"Trent Bridge, Nottingham",2019-06-06
Pakistan,Sri Lanka,No Result,,"County Ground, Bristol",2019-06-07
England,Bangladesh,England,106 runs,"Sophia Gardens, Cardiff",2019-06-08
Afghanistan,New Zealand,New Zealand,7 wickets,"The Cooper Associates County Ground, Taunton",2019-06-08
India,Australia,India,36 runs,"Kennington Oval, London",2019-06-09
South Africa,West Indies,No Result,,"The Rose Bowl, Southampton",2019-06-10
Bangladesh,Sri Lanka,No Result,,"County Ground, Bristol",2019-06-11
Australia,Pakistan,Australia,41 runs,"The Cooper Associates County Ground, Taunton",2019-06-12
India,New Zealand,No Result,,"Trent Bridge, Nottingham",2019-06-13
West Indies,England,England,8 wickets,"The Rose Bowl, Southampton",2019-06-14
Australia,Sri Lanka,Australia,87 runs,"Kennington Oval, London",2019-06-15
Afghanistan,South Africa,South Africa,9 wickets,"Sophia Gardens, Cardiff",2019-06-15
India,Pakistan,India,89 runs,"Old Trafford, Manchester",2019-06-16
West Indies,Bangladesh,Bangladesh,7 wickets,"The Cooper Associates County Ground, Taunton",2019-06-17
England,Afghanistan,England,150 runs,"Old Trafford, Manchester",2019-06-18
South Africa,New Zealand,New Zealand,4 wickets,"Edgbaston, Birmingham",2019-06-19
Australia,Bangladesh,Australia,48 runs,"Trent Bridge, Nottingham",2019-06-20
Pakistan,Sri Lanka,Pakistan,15 runs,"Niaz Stadium, Hyderabad, Sind",1987-10-08
West Indies,England,England,2 wickets,"Municipal Stadium, Gujranwala",1987-10-09
Australia,India,Australia,1 runs,"MA Chidambaram Stadium, Chepauk, Madras",1987-10-09
New Zealand,Zimbabwe,New Zealand,3 runs,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",1987-10-10
Pakistan,England,Pakistan,18 runs,"Pindi Club Ground, Rawalpindi",1987-10-12
Australia,Zimbabwe,Australia,96 runs,"MA Chidambaram Stadium, Chepauk, Madras",1987-10-13
West Indies,Sri Lanka,West Indies,191 runs,"National Stadium, Karachi",1987-10-13
India,New Zealand,India,16 runs,"M Chinnaswamy Stadium, Bangalore",1987-10-14
West Indies,Pakistan,Pakistan,1 wickets,"Gaddafi Stadium, Lahore",1987-10-16
England,Sri Lanka,England,108 runs,"Arbab Niaz Stadium, Peshawar",1987-10-17
Zimbabwe,India,India,8 wickets,"Wankhede Stadium, Bombay",1987-10-17
Australia,New Zealand,Australia,3 runs,"Nehru Stadium, Indore",1987-10-18
England,Pakistan,Pakistan,7 wickets,"National Stadium, Karachi",1987-10-20
West Indies,Sri Lanka,West Indies,25 runs,"Green Park, Kanpur",1987-10-21
India,Australia,India,56 runs,"Feroz Shah Kotla, Delhi",1987-10-22
Zimbabwe,New Zealand,New Zealand,4 wickets,"Eden Gardens, Calcutta",1987-10-23
Pakistan,Sri Lanka,Pakistan,113 runs,"Iqbal Stadium, Faisalabad",1987-10-25
England,West Indies,England,34 runs,"Sawai Mansingh Stadium, Jaipur",1987-10-26
Zimbabwe,India,India,7 wickets,"Gujarat Stadium, Motera, Ahmedabad",1987-10-26
Australia,New Zealand,Australia,17 runs,"Sector 16 Stadium, Chandigarh",1987-10-27
Australia,Zimbabwe,Australia,70 runs,"Barabati Stadium, Cuttack",1987-10-30
Sri Lanka,England,England,8 wickets,"Nehru Stadium, Pune",1987-10-30
West Indies,Pakistan,West Indies,28 runs,"National Stadium, Karachi",1987-10-30
New Zealand,India,India,9 wickets,"Vidarbha Cricket Association Ground, Nagpur",1987-10-31
Australia,Pakistan,Australia,18 runs,"Gaddafi Stadium, Lahore",1987-11-04
England,India,England,35 runs,"Wankhede Stadium, Bombay",1987-11-05
New Zealand,Sri Lanka,New Zealand,98 runs,"Hagley Oval, Christchurch",2015-02-14
Australia,England,Australia,111 runs,Melbourne Cricket Ground,2015-02-14
South Africa,Zimbabwe,South Africa,62 runs,"Seddon Park, Hamilton",2015-02-15
India,Pakistan,India,76 runs,Adelaide Oval,2015-02-15
West Indies,Ireland,Ireland,4 wickets,"Saxton Oval, Nelson",2015-02-16
Scotland,New Zealand,New Zealand,3 wickets,"University Oval, Dunedin",2015-02-17
Bangladesh,Afghanistan,Bangladesh,105 runs,"Manuka Oval, Canberra",2015-02-18
United Arab Emirates,Zimbabwe,Zimbabwe,4 wickets,"Saxton Oval, Nelson",2015-02-19
England,New Zealand,New Zealand,8 wickets,"Westpac Stadium, Wellington",2015-02-20
West Indies,Pakistan,West Indies,150 runs,"Hagley Oval, Christchurch",2015-02-21
Australia,Bangladesh,No Result,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2015-02-21
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,"University Oval, Dunedin",2015-02-22
India,South Africa,India,130 runs,Melbourne Cricket Ground,2015-02-22
England,Scotland,England,119 runs,"Hagley Oval, Christchurch",2015-02-23
West Indies,Zimbabwe,West Indies,73 runs,"Manuka Oval, Canberra",2015-02-24
United Arab Emirates,Ireland,Ireland,2 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2015-02-25
Scotland,Afghanistan,Afghanistan,1 wickets,"University Oval, Dunedin",2015-02-26
Sri Lanka,Bangladesh,Sri Lanka,92 runs,Melbourne Cricket Ground,2015-02-26
South Africa,West Indies,South Africa,257 runs,Sydney Cricket Ground,2015-02-27
Australia,New Zealand,New Zealand,1 wickets,"Eden Park, Auckland",2015-02-28
United Arab Emirates,India,India,9 wickets,"Western Australia Cricket Association Ground, Perth",2015-02-28
England,Sri Lanka,Sri Lanka,9 wickets,"Westpac Stadium, Wellington",2015-03-01
Pakistan,Zimbabwe,Pakistan,20 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2015-03-01
South Africa,Ireland,South Africa,201 runs,"Manuka Oval, Canberra",2015-03-03
Pakistan,United Arab Emirates,Pakistan,129 runs,"McLean Park, Napier",2015-03-04
Australia,Afghanistan,Australia,275 runs,"Western Australia Cricket Association Ground, Perth",2015-03-04
England,New Zealand,England,106 runs,"Kennington Oval, London",1983-06-09
Pakistan,Sri Lanka,Pakistan,50 runs,"St Helen's, Swansea",1983-06-09
Zimbabwe,Australia,Zimbabwe,13 runs,"Trent Bridge, Nottingham",1983-06-09
India,West Indies,India,34 runs,"Old Trafford, Manchester",1983-06-09
England,Sri Lanka,England,47 runs,"County Ground, Taunton",1983-06-11
New Zealand,Pakistan,New Zealand,52 runs,"Edgbaston, Birmingham",1983-06-11
West Indies,Australia,West Indies,101 runs,"Headingley, Leeds",1983-06-11
Zimbabwe,India,India,5 wickets,"Grace Road, Leicester",1983-06-11
